title,price,rating,reviews,availablity,image_url
"CosmoLiving by Cosmopolitan Metal Indoor Outdoor Planter Dome Large Planter Pot with Removable Stand, Set of 2 Planters 19"", 22""H, Gold",$60.23,4.6 out of 5 stars,661 ratings,In Stock,https://m.media-amazon.com/images/I/71zzuHE4P-L.__AC_SX300_SY300_QL70_ML2_.jpg
"The HC Companies Caribbean Planter Pot - Outdoor & Indoor Plant Pot with Drainage Hole & Plug - Rolled Rim Plastic Pots for Plants & Flowers - Decorative Plant Pot (10"" Black, Pack of 1)",$13.81,4.6 out of 5 stars,"6,038 ratings",In Stock,https://m.media-amazon.com/images/I/514uW8MESKL.__AC_SX300_SY300_QL70_ML2_.jpg
"Cute Ceramic Succulent Garden Pots, Planter with Drainage and Attached Saucer, Set of 5 -Plants Not Included (Round)",$22.99,4.6 out of 5 stars,"2,177 ratings",In Stock,https://m.media-amazon.com/images/I/81Y49HmhxZL.__AC_SX300_SY300_QL70_ML2_.jpg
"Quarut 4 Pack 10 inch Plant Pots,Upgrade Whiskey Barrel Planters with Drainage Holes & Saucer,Plastic Decoration Flower Pots Retro Design,Planters for Outdoor Indoor Garden Home Plants (Brown)",$19.93,4.6 out of 5 stars,"2,053 ratings",In Stock,https://m.media-amazon.com/images/I/712HiHpZxSL.__AC_SX300_SY300_QL70_ML2_.jpg
"Plant Pots 12/10/9 inch Set of 3, Self Watering Flower Pots Indoor Outdoor, Planters with Drainage Hole Saucer Reservoir, White",$28.99,4.6 out of 5 stars,831 ratings,In Stock,https://m.media-amazon.com/images/I/81yhgi63GXL.__AC_SX300_SY300_QL70_ML2_.jpg
"6 Inch 120 Pack Plastic Nursery Pots with Drainage Holes,Plastic Seed Starting Pots, Reusable Seedling Flower Plant Container for Succulents, Seedlings, Cuttings, Transplanting",$9.99,4.5 out of 5 stars,82 ratings,In Stock,https://m.media-amazon.com/images/I/81ABab1lf-L.__AC_SX300_SY300_QL70_ML2_.jpg
"QCQHDU 8 inch Plant Pot, 2 Pack Planters for Indoor Plants with Drainage Holes & Saucer, Outdoor Flower Pots Home Garden Modern Decor",$16.99,4.5 out of 5 stars,"7,105 ratings",In Stock,https://m.media-amazon.com/images/I/71smkmbWsgL.__AC_SX300_SY300_QL70_ML2_.jpg
"JERIA 30 Pack 6/5/4Inch Clear Nursery Pots with Drainage Holes, Clear Plant Pot for Planting, Transparent Plastic Plant Pots,Durable Seed Starting Pot for Succulents",$12.99,4.4 out of 5 stars,514 ratings,In Stock,https://m.media-amazon.com/images/I/710S4uX5gAL.__AC_SX300_SY300_QL70_ML2_.jpg
"Plant Pots Set of 5, 10"" Outside Diameter Flower Pots, 8.5"" Inner Diameter Planters with Drainage Hole, Durable Garden Pots Perfect for Indoor & Outdoor Plant Planting, Decor, Gray",$17.99,4.5 out of 5 stars,"1,016 ratings",In Stock,https://m.media-amazon.com/images/I/61usul6Br5L.__AC_SX300_SY300_QL70_ML2_.jpg
"WOUSIWER 10 inch Self Watering Planters, 2 Pack Large Plastic Plant Pots with Deep Reservior and High Drainage Holes for Indoor Outdoor Plants and Flowers, Black",$21.99,4.6 out of 5 stars,"2,868 ratings",In Stock,https://m.media-amazon.com/images/I/71qQLlDI-jL.__AC_SX300_SY300_QL70_ML2_.jpg
"12"" 10"" 9"" Large Self Watering Plant Pots, 3 Pack Flower Pots Planters with Multi Mesh Drainage Holes for Indoor Outdoor Garden Plants and Flowers",$28.99,4.6 out of 5 stars,918 ratings,In Stock,https://m.media-amazon.com/images/I/71EyLe+yBtL._AC_SY300_SX300_QL70_ML2_.jpg
"OJYUDD 60 Pack 1 Gallon Flexible Plant Nursery Pots,Thickened Soft Plastic Seed Starting Pots,Plastic Plant Container with Hole for Flower Seedling,Succulents,Cuttings,Transplanting(Black)",$13.99,4.4 out of 5 stars,217 ratings,Only 10 left in stock - order soon.,https://m.media-amazon.com/images/I/71UTayuPOlL.__AC_SX300_SY300_QL70_ML2_.jpg
"D'vine Dev Set of 2 Plants Pots, 6.5 Inch Ceramic Planter Pot for Plants with Drainage Hole and Saucer, White, 94-V-C-1",$39.99,4.8 out of 5 stars,"1,013 ratings",In Stock,https://m.media-amazon.com/images/I/71uerDiyDsL.__AC_SX300_SY300_QL70_ML2_.jpg
"Classic Home & Garden Whiskey Barrel Planters - Wooden Finish Flower Planter Pot - Decorative Garden Pots - Indoor & Outdoor Resin Planters - Weather-Resistant Planting Pots (15” Oak Brown, Pack Of 1)",$26.75,4.5 out of 5 stars,"13,941 ratings",In Stock,https://m.media-amazon.com/images/I/81PjkBDvuOL.__AC_SX300_SY300_QL70_ML2_.jpg
"LE TAUCI Plant Pots, 4.1+5.1+6.5 inch, Set of 3, Ceramic Planters with Drainage Hole and Saucer, Indoor Flower Pot with Hole Mesh Pad, Gifts for Mom, Reactive Glaze Beige",$34.99,4.7 out of 5 stars,"2,458 ratings",In Stock,https://m.media-amazon.com/images/I/71tK8C9wGUL.__AC_SX300_SY300_QL70_ML2_.jpg
Plant Pots Indoor with Saucers & Drainage - 6 Pack Flower Pots - Plastic Planters for Indoor Planter - 7.5/6.6/5.8/5.0/4.3/3.5 inches Sizes for All Different Types of Plants - White,$16.99,4.5 out of 5 stars,302 ratings,,https://m.media-amazon.com/images/I/71thDqp79dL.__AC_SX300_SY300_QL70_ML2_.jpg
"Land Guard 4-Pack Fabric Grow Bags 5 Gallon, Thickened Nonwoven Garden Pots, Growing Bags with Handles, Black",$5.99,4.3 out of 5 stars,"2,474 ratings",In Stock,https://m.media-amazon.com/images/I/81p-0Ifr9KL.__AC_SX300_SY300_QL70_ML2_.jpg
Ceramic Modern Glaze Succulent Planter Pot with Drainage Hole and Saucer 6 Inch Round Flower Plant Pot for Indoor Outdoor Herb Snake Plants,$16.99,4.6 out of 5 stars,"1,523 ratings",In Stock,https://m.media-amazon.com/images/I/717ozDpPN9L.__AC_SX300_SY300_QL70_ML2_.jpg
"Quarut 10 Inch Flower Pots for Outdoor Indoor, 3 Pack Plastic Plant Pots with Drainage Hole & Tray, Modern Decorative Garden Pot with Saucer, planters for House (Black Copper)",$18.99,4.6 out of 5 stars,691 ratings,In Stock,https://m.media-amazon.com/images/I/81Bp9EfFhtL.__AC_SY300_SX300_QL70_ML2_.jpg
"FaithLand 6-Pack 6-Inch Plastic Plant Pots with Saucers | Thickened PP Material, Modern Wave Texture, Enhanced Drainage for Indoor/Outdoor Garden Plants | Multicolor Value Set",$15.99,4.7 out of 5 stars,274 ratings,In Stock,https://m.media-amazon.com/images/I/71F2AEaH1lL.__AC_SX300_SY300_QL70_ML2_.jpg
"The HC Companies Eclipse Square Plastic Planter w/Attached Saucer - Outdoor & Indoor Plant Pot with Drainage Holes - Lightweight, UV-Resistant Plastic Pots for Plants (12"" Black, Pack of 2)",$32.95,4.4 out of 5 stars,"2,533 ratings",In Stock,https://m.media-amazon.com/images/I/51QVgoz0FKL.__AC_SX300_SY300_QL70_ML2_.jpg
"6 inch Terracotta & Clay Pots for Plants with Saucer, Medium Terra Cotta Plant Pots with Drainage Hole, Flowerpot with Tray, Terracotta Pot for Indoor Outdoor Plant - Pack of 4 Planters",$19.06,4.7 out of 5 stars,"1,037 ratings",In Stock,https://m.media-amazon.com/images/I/71sxPvtSM3L.__AC_SX300_SY300_QL70_ML2_.jpg
"4 Inch Plant Pots, 6 Pack Indoor Flower Pots, Planters with Drainage Holes and Trays for Orchids, Violets, Succulents, Herbs, and Other Plants,Corolful",$9.99,4.6 out of 5 stars,321 ratings,In Stock,https://m.media-amazon.com/images/I/712dRcerdNL.__AC_SX300_SY300_QL70_ML2_.jpg
"Vintage Grey Ceramic Ice Crack Flower Pot with Drainage Holes, Country Rustic Planters for Indoor and Outdoor,Tuscan Decor,Home,Living Room, Garden Decor, Gardening Gift",$22.99,4.8 out of 5 stars,278 ratings,In Stock,https://m.media-amazon.com/images/I/71oijv33Y6L.__AC_SX300_SY300_QL70_ML2_.jpg
"Large Flower Pots Set of 4 Pack 13 inch, Plant Pots Large Outdoor Planters with Drainage Hole & Tray Saucer, Decoration Plastic Pots for Plants for Indoor Outdoor Garden Home Plants Planter (Grey)",$35.99,4.6 out of 5 stars,72 ratings,In Stock,https://m.media-amazon.com/images/I/71nD+7bnmFL._AC_SY300_SX300_QL70_ML2_.jpg
"Mr. Stacky 1305-HG 5-Tier Stackable Strawberry, Herb, Flower, & Vegetable Planter - Vertical Gardening Indoor / Outdoor Stacking Garden Pots Hunter Green, 22.5 Quarts",$19.58,4.3 out of 5 stars,"5,346 ratings",In Stock,https://m.media-amazon.com/images/I/61ue9T4KMGL.__AC_SX300_SY300_QL70_ML2_.jpg
"Modern Plant Pots Set, 9/8/7.5 inch Plastic Planters for Indoor Plants, Stylish Flower Pots with Drainage Holes and Saucers for House Plants and Flowers, Black",$22.89,4.7 out of 5 stars,395 ratings,In Stock,https://m.media-amazon.com/images/I/81uCC0822XL.__AC_SX300_SY300_QL70_ML2_.jpg
"Ton Sin Grey Flower Pots,Texture Planter for Indoor Plants Set of 3 Ceramic Flower Pots with Saucer,Cute Garden Pots Succulent Pots（3 Pack,Grey",$21.99,4.6 out of 5 stars,"2,311 ratings",In Stock,https://m.media-amazon.com/images/I/71AVevzYvCL.__AC_SX300_SY300_QL70_ML2_.jpg
Smily Face Planter Pot Cute Resin Flower Head Planters for Indoor Outdoor Unique Sit Rocking Chair Succulent Pots Gift IdeaI for Mother and Appreciation Christmas with Drainage Hole,$17.99,4.6 out of 5 stars,696 ratings,In Stock,https://m.media-amazon.com/images/I/71wrn2ZUAPL.__AC_SX300_SY300_QL70_ML2_.jpg
Fox & Fern 14.6 Inch Extra Large Planter — Premium Lightweight Fiberstone Matte White Plant Pot with Drainage Plug; Big Planter for Indoor & Outdoor Use; Weather Resistant & UV Resistant,$99.99,4.7 out of 5 stars,"7,289 ratings",In Stock,https://m.media-amazon.com/images/I/71Dp6meibSL.__AC_SX300_SY300_QL70_ML2_.jpg
"WOUSIWER 16 Pack 6 inch Plastic Planters for Indoor Flower Pots, Heavy Duty and Stylish 6 Inch Plant Pots for Indoor Plants with Drainage Holes and Tray for Plants, Flowers, White",$20.99,4.8 out of 5 stars,"2,593 ratings",In Stock,https://m.media-amazon.com/images/I/61ZCq9PaJkL.__AC_SX300_SY300_QL70_ML2_.jpg
Fun & Unique Sun Face Hanging Planter Quirky Celestial Decor for Plant Lovers – Indoor Outdoor Flower Basket for Succulents & Small Plants – Decorative Garden Yard Art,$37.95,4.6 out of 5 stars,177 ratings,In Stock,https://m.media-amazon.com/images/I/9101E4hV1HL.__AC_SX300_SY300_QL70_ML2_.jpg
Fun & Unique Sun Face Hanging Planter Quirky Celestial Decor for Plant Lovers – Indoor Outdoor Flower Basket for Succulents & Small Plants – Decorative Garden Yard Art,$37.95,4.6 out of 5 stars,177 ratings,In Stock,https://m.media-amazon.com/images/I/9101E4hV1HL.__AC_SX300_SY300_QL70_ML2_.jpg
